{'ticks': 23668, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.8, 2959.3, 3036.2, 3010.7], 'rec_time': 0.6642708778381348}
{'ticks': 23669, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2710.0, 2931.3, 2509.4, 2669.1], 'rec_time': 0.6642708778381348}
{'ticks': 23679, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.8, 3113.0, 2583.3, 3404.7], 'rec_time': 0.6642708778381348}
{'ticks': 23709, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2710.8, 2934.5, 2509.4, 2670.8], 'rec_time': 0.6642708778381348}
{'ticks': 23708, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.3, 2963.8, 3037.1, 3013.6], 'rec_time': 0.6642708778381348}
{'ticks': 23719, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.6, 3113.0, 2584.3, 3405.6], 'rec_time': 0.6642708778381348}
{'ticks': 23749, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2711.8, 2932.2, 2509.8, 2676.6], 'rec_time': 0.6642708778381348}
{'ticks': 23748, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.9, 2958.8, 3036.9, 3012.3], 'rec_time': 0.6642708778381348}
{'ticks': 23759, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2761.2, 3112.6, 2583.7, 3405.4], 'rec_time': 0.6642708778381348}
{'ticks': 23788, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.1, 2959.6, 3037.1, 3014.4], 'rec_time': 0.6642708778381348}
{'ticks': 23789, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2709.3, 2931.9, 2509.7, 2676.2], 'rec_time': 0.6652698516845703}
{'ticks': 23799, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2761.1, 3112.5, 2583.0, 3405.3], 'rec_time': 0.6652698516845703}
{'ticks': 23828, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.4, 2960.9, 3036.8, 3013.0], 'rec_time': 0.6652698516845703}
{'ticks': 23829, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2708.6, 2929.4, 2510.1, 2676.8], 'rec_time': 0.6652698516845703}
{'ticks': 23839, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.7, 3112.7, 2583.3, 3405.2], 'rec_time': 0.6652698516845703}
{'ticks': 23868, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.3, 2961.0, 3036.7, 3010.9], 'rec_time': 0.6652698516845703}
{'ticks': 23869, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2710.0, 2933.9, 2511.9, 2676.9], 'rec_time': 0.6652698516845703}
{'ticks': 23879, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2761.6, 3113.4, 2583.4, 3405.4], 'rec_time': 0.6652698516845703}
{'ticks': 23908, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.9, 2959.6, 3036.1, 3011.4], 'rec_time': 0.6652698516845703}
{'ticks': 23909, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2708.9, 2932.3, 2509.8, 2673.6], 'rec_time': 0.6652698516845703}
{'ticks': 23919, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.7, 3112.2, 2584.3, 3405.0], 'rec_time': 0.6652698516845703}
{'ticks': 23948, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.6, 2960.0, 3035.6, 3010.3], 'rec_time': 0.6652698516845703}
